container,first_date,first_location,first_status,last_date,last_location,last_status
MNBU3016766,2019-04-09 23:04:00,"Alconsa Callao
Callao, Peru",Empty,2019-05-11 00:00:00,"St Petersburg, Petrolesport
St Petersburg, Russia",Gate out
MNBU9027602,2019-04-09 19:59:00,"Alconsa Callao
Callao, Peru",Empty,2019-05-10 00:00:00,"SALERNo SCT SalerNo Container Termi
Salerno, Salarno, Italy",Gate out
MWCU6945118,2019-04-05 21:52:00,"Alconsa Callao
Callao, Peru",Empty,2019-06-10 00:00:00,"Abidjan Terminal
Abidjan, Ivory Coast",Gate out
MSWU0007172,2019-04-05 21:15:00,"Alconsa Callao
Callao, Peru",Empty,2019-06-11 00:00:00,"Onne Port Terminal
Onne, Nigeria",Gate out
MNBU0567554,2019-04-10 23:44:00,"Alconsa Callao
Callao, Peru",Empty,2019-05-12 00:00:00,"First Container Terminal FCT
St Petersburg FCT, Russia",Gate out
MNBU3874662,2019-04-07 21:27:00,"Alconsa Callao
Callao, Peru",Empty,2019-05-11 00:00:00,"St Petersburg, Petrolesport
St Petersburg, Russia",Gate out
MWCU6720019,2019-04-10 21:48:00,"Alconsa Callao
Callao, Peru",Empty,2019-06-27 00:00:00,"Cabinda Terminal
Cabinda, Angola",Gate out
MWCU6775135,2019-04-06 15:48:00,"Alconsa Callao
Callao, Peru",Empty,2019-05-13 00:00:00,"Vigo Terminal
Vigo, Spain",Gate out
MNBU0229515,2019-04-10 22:57:00,"Alconsa Callao
Callao, Peru",Empty,2019-05-07 00:00:00,"Delta Container Terminal
Rotterdam, Zuid-Holland, Netherlands",Gate out
MNBU3563547,2019-04-07 21:00:00,"Alconsa Callao
Callao, Peru",Empty,2019-05-11 00:00:00,"St Petersburg, Petrolesport
St Petersburg, Russia",Gate out
MSWU0077858,2019-04-08 18:24:00,"Alconsa Callao
Callao, Peru",Empty,2019-05-27 00:00:00,"Apapa Port
Apapa, Nigeria",Gate out
MSWU0072856,2019-04-10 16:48:00,"Alconsa Callao
Callao, Peru",Empty,2019-06-27 00:00:00,"Cabinda Terminal
Cabinda, Angola",Gate out
MNBU0428380,2019-04-10 23:14:00,"Alconsa Callao
Callao, Peru",Empty,2019-05-30 00:00:00,"UMM QASR TERMINAL - Gulftainer
Umm Qasr, Iraq",Gate out
MNBU3211187,2019-04-11 12:54:00,"Alconsa Callao
Callao, Peru",Empty,2019-05-11 00:00:00,"St Petersburg, Petrolesport
St Petersburg, Russia",Gate out
MWCU6646610,2019-04-10 09:46:00,"Alconsa Callao
Callao, Peru",Empty,2019-05-27 00:00:00,"Apapa Port
Apapa, Nigeria",Gate out
MNBU0426598,2019-03-26 09:22:00,"TCBUEN
Buenaventura, Valle Del Cauca, Colombia",Stuffing,2019-05-11 00:00:00,"Kobe Terminal PC-16/17
Kobe, Hyogo, Japan",Gate out
MRKU3588566,2019-03-22 09:01:00,"PATIO DE CONTENEDORES DE COLOMBIA
Bogota, Cundinamarca, Colombia",Empty,2019-05-01 00:00:00,"Maersk Yokohama Terminal
Yokohama, Kanagawa, Japan",Gate out
MRKU4254964,2019-03-22 22:21:00,"PATIO DE CONTENEDORES DE COLOMBIA
Bogota, Cundinamarca, Colombia",Empty,2019-05-01 00:00:00,"Maersk Yokohama Terminal
Yokohama, Kanagawa, Japan",Gate out
MRKU6099980,2019-03-22 18:21:00,"PATIO DE CONTENEDORES DE COLOMBIA
Bogota, Cundinamarca, Colombia",Empty,2019-05-01 00:00:00,"Maersk Yokohama Terminal
Yokohama, Kanagawa, Japan",Gate out
PONU7501798,2019-03-20 17:39:00,"PATIO DE CONTENEDORES DE COLOMBIA
Bogota, Cundinamarca, Colombia",Empty,2019-05-01 00:00:00,"Maersk Yokohama Terminal
Yokohama, Kanagawa, Japan",Gate out
MSKU0808740,2019-03-21 11:09:00,"PATIO DE CONTENEDORES DE COLOMBIA
Bogota, Cundinamarca, Colombia",Empty,2019-05-01 00:00:00,"Maersk Yokohama Terminal
Yokohama, Kanagawa, Japan",Gate out
TGBU6829062,2019-03-26 21:35:00,"TCBUEN
Buenaventura, Valle Del Cauca, Colombia",Gate in,2019-05-01 00:00:00,"Maersk Yokohama Terminal
Yokohama, Kanagawa, Japan",Gate out
MSKU8504549,2019-03-21 12:38:00,"PATIO DE CONTENEDORES DE COLOMBIA
Bogota, Cundinamarca, Colombia",Empty,2019-05-01 00:00:00,"Maersk Yokohama Terminal
Yokohama, Kanagawa, Japan",Gate out
